Entity,Code,kWh80,kWh20,Calc
Afghanistan,AFG,939.6123657226562,945.6453857421876,0.642075417439969
Albania,ALB,16782.521484375,11266.2578125,-32.86909941995783
Algeria,DZA,11693.220703125,16140.1962890625,38.03037417012962
American Samoa,ASM,48250.87890625,26023.669921875,-46.06591525008652
Angola,AGO,2170.136474609375,3429.5927734375,58.03581081483953
Antigua and Barbuda,ATG,21575.34375,31384.86328125,45.46634178771776
Argentina,ARG,15939.49609375,20785.9140625,30.405088970474537
Australia,AUS,56025.8125,66614.8828125,18.90034225295707
Austria,AUT,41472.203125,47818.359375,15.302192243976664
Azerbaijan,AZE,35243.73828125,17979.771484375,-48.984493810236906
Bahamas,BHS,40257.03515625,41170.375,2.2687707631847243
Bahrain,BHR,142542.09375,145193.28125,1.85993304170895
Bangladesh,BGD,531.8629760742188,2775.810302734375,421.9032772732473
Barbados,BRB,19801.2578125,24536.79296875,23.915324981328133
Belarus,BLR,41210.3203125,32671.71484375,-20.719580444901453
Belgium,BEL,54894.77734375,64934.01953125,18.28815540071229
Belize,BLZ,6020.4365234375,9246.8447265625,53.59093465340303
Benin,BEN,527.357421875,2482.886474609375,370.8166362353569
Bermuda,BMU,36034.765625,51712.70703125,43.50782122299428
Bhutan,BTN,352.8785095214844,29338.076171875,8213.93110667421
Bolivia,BOL,3184.92431640625,7940.38330078125,149.31152240819597
Botswana,BWA,5169.36572265625,9992.3232421875,93.29882578037059
Brazil,BRA,9869.5498046875,16525.109375,67.43529038327027
British Virgin Islands,VGB,8891.2470703125,23485.607421875,164.14300756856096
Brunei,BRN,100484.546875,121637.2578125,21.050710378197145
Bulgaria,BGR,37533.75,30017.486328125,-20.025346979385215
Burkina Faso,BFA,220.68374633789065,946.6964721679688,328.983324725
Burundi,BDI,165.06797790527344,318.7487487792969,93.10150449787136
Cambodia,KHM,237.4644470214844,3994.23681640625,1582.0357179805005
Cameroon,CMR,1896.998291015625,1814.0289306640625,-4.373718244476743
Canada,CAN,110984.53125,108631.0625,-2.12053763122958
Cape Verde,CPV,2011.175537109375,7776.23779296875,286.6513712744036
Cayman Islands,CYM,24210.9296875,51434.8359375,112.44469585178956
Central African Republic,CAF,403.6553649902344,328.43511962890625,-18.634769133601857
Chad,TCD,130.03785705566406,461.7154235839844,255.06231342026982
Chile,CHL,8982.5166015625,25430.2265625,183.10803854319
China,CHN,5718.140625,27883.208984375,387.6271993463784
Colombia,COL,7565.09423828125,10647.3740234375,40.74344202560163
Comoros,COM,537.86328125,1567.0634765625,191.3497781296072
Congo,COG,2372.30078125,4734.8818359375,99.5902827061677
Cook Islands,COK,13916.6005859375,27921.376953125,100.63360143668345
Costa Rica,CRI,6391.93701171875,13158.58984375,105.86232028922544
Cote d'Ivoire,CIV,2282.362060546875,2410.60791015625,5.618996732650117
Cuba,CUB,14092.9248046875,9608.341796875,-31.82152086925821
Cyprus,CYP,19277.384765625,27110.1328125,40.63179804784609
Czechia,CZE,61126.8046875,44705.38671875,-26.864512307982725
Democratic Republic of Congo,COD,953.532958984375,402.06201171875,-57.83449245981036
Denmark,DNK,42589.96484375,33887.265625,-20.433684908352546
Djibouti,DJI,7434.0673828125,2598.322998046875,-65.0484335929726
Dominica,DMA,3039.403564453125,10994.0791015625,261.7183065171751
Dominican Republic,DOM,4507.8779296875,11434.634765625,153.65892652771288
Ecuador,ECU,6724.86328125,12162.4833984375,80.85844856279026
Egypt,EGY,6675.96337890625,10436.3896484375,56.327844478789444
El Salvador,SLV,2715.672119140625,7069.9658203125,160.33944858371902
Equatorial Guinea,GNQ,1052.6494140625,16879.8984375,1503.56318181523
Estonia,EST,77806.2421875,47190.81640625,-39.348289957857055
Eswatini,SWZ,4401.0224609375,5678.396484375,29.024483168972417
Ethiopia,ETH,328.2630920410156,943.6289672851562,187.46118286342477
Faeroe Islands,FRO,51547.93359375,80176.8828125,55.53850023237625
Falkland Islands,FLK,35112.27734375,61361.54296875,74.75808352736306
Fiji,FJI,6057.064453125,9642.4267578125,59.1930683986319
Finland,FIN,58181.296875,59174.6484375,1.7073382957313088
France,FRA,43582.14453125,41949.1015625,-3.747045920558245
French Guiana,GUF,15381.861328125,16525.94140625,7.437851985007193
French Polynesia,PYF,18304.37109375,16894.357421875,-7.703152786038336
Gabon,GAB,11366.9267578125,7848.57666015625,-30.952518412578712
Gambia,GMB,942.4929809570312,1039.447998046875,10.287081076337913
Germany,DEU,55222.55859375,44244.8828125,-19.878969864486574
Ghana,GHA,1359.184326171875,3294.342529296875,142.37643606260147
Greece,GRC,22161.453125,29698.73828125,34.01078942674252
Greenland,GRL,39473.0625,62156.1171875,57.464643609803524
Grenada,GRD,2392.188720703125,11660.6337890625,387.4462323204644
Guadeloupe,GLP,11178.498046875,21482.748046875,92.17919935926098
Guam,GUM,23046.4453125,44771.29296875,94.26550325514545
Guatemala,GTM,2135.448486328125,5688.77685546875,166.3972880587031
Guinea,GIN,699.9805297851562,1211.76171875,73.11363204944055
Guinea-Bissau,GNB,614.427734375,721.2616577148438,17.387548992806433
Guyana,GUY,7658.16748046875,14245.7978515625,86.02097548656022
Haiti,HTI,700.3269653320312,1163.58642578125,66.14902515278465
Honduras,HND,2179.69775390625,5802.88525390625,166.22430763654563
Hong Kong,HKG,19059.544921875,46358.28125,143.22868903755267
Hungary,HUN,31551.302734375,28394.326171875,-10.005851704692015
Iceland,ISL,76204.8828125,186788.25,145.11323042066388
India,IND,2019.8157958984373,6941.9697265625,243.69320908665495
Indonesia,IDN,2503.20361328125,8977.1513671875,258.6264944472523
Iran,IRN,13600.4111328125,39347.41796875,189.3105038113149
Iraq,IRQ,9209.572265625,15723.4521484375,70.72945078161501
Ireland,IRL,28350.462890625,38240.21875,34.883930811039306
Israel,ISR,24350.888671875,35454.7578125,45.599441113826146
Italy,ITA,28766.3046875,30077.876953125,4.559404761484442
Jamaica,JAM,8526.2841796875,14562.763671875,70.7984787390554
Japan,JPN,36764.6953125,40524.43359375,10.226491065116171
Jordan,JOR,12287.2109375,11483.71875,-6.539256073546995
Kazakhstan,KAZ,50813.734375,45458.3984375,-10.539150494191563
Kenya,KEN,1516.6707763671875,1849.1697998046875,21.922953129875665
Kiribati,KIR,968.3308715820312,2738.874267578125,182.84487750591185
Kuwait,KWT,69473.0703125,113976.2578125,64.05818441565656
Laos,LAO,736.4302978515625,21448.955078125,2812.5573921523155
Latvia,LVA,41184.96875,23499.802734375,-42.940826598599756
Lebanon,LBN,11796.880859375,15613.75,32.354901148227896
Lesotho,LSO,429.7872314453125,2292.675537109375,433.44431136295924
Liberia,LBR,3612.750244140625,1111.5142822265625,-69.23356979826427
Libya,LBY,31925.30859375,25863.947265625,-18.9860696579504
Lithuania,LTU,50722.31640625,25427.3125,-49.86957556049856
Luxembourg,LUX,88006.8046875,76797.96875,-12.736328716058976
Macao,MAC,9274.8427734375,23858.013671875,157.23361845230068
Madagascar,MDG,613.1947021484375,676.5399169921875,10.330359121141907
Malawi,MWI,493.210693359375,530.1196899414062,7.4834136970217235
Malaysia,MYS,11018.9501953125,38858.890625,252.6551072127607
Maldives,MDV,1302.640625,17493.390625,1242.9176312538234
Mali,MLI,304.2787475585937,1289.1182861328125,323.6635967763645
Malta,MLT,12804.9951171875,91685.1484375,616.0108035842641
Martinique,MTQ,8586.5556640625,24598.068359375,186.47189072943223
Mauritania,MRT,2116.408203125,3976.341796875,87.88160955923814
Mauritius,MUS,4134.28076171875,23277.91796875,463.0463751831078
Mexico,MEX,14929.5087890625,16507.169921875,10.567401480538386
Mongolia,MNG,28298.177734375,24337.97265625,-13.99455864366267
Montserrat,MSR,11552.90234375,27374.037109375,136.94510950474768
Morocco,MAR,2902.4599609375,7223.97314453125,148.89139701337663
Mozambique,MOZ,670.004150390625,2377.498046875,254.8482566098843
Myanmar,MMR,678.9513549804688,3129.77734375,360.9722509265827
Nauru,NRU,68657.03125,24818.052734375,-63.852132429080235
Nepal,NPL,179.59896850585938,1529.663818359375,751.7108038454408
Netherlands,NLD,56693.62109375,57643.90625,1.6761765043700194
New Caledonia,NCL,42431.2265625,78605.5859375,85.25409776150634
New Zealand,NZL,47180.72265625,55161.7578125,16.91588154424497
Nicaragua,NIC,2819.34619140625,4371.55908203125,55.05577482312587
Niger,NER,411.2700500488281,451.2248840332031,9.714987507510298
Nigeria,NGA,2099.58056640625,2481.222412109375,18.177051731640038
Niue,NIU,4694.5380859375,19974.8828125,325.4919748619105
North Korea,PRK,15532.2705078125,3695.7001953125,-76.2063106391714
Norway,NOR,104847.9453125,95756.6875,-8.670897446205018
Oman,OMN,22404.384765625,76099.515625,239.6634918614651
Pakistan,PAK,2366.419677734375,4541.509765625,91.91480735036272
Panama,PAN,21820.146484375,28998.337890625,32.897081655204154
Papua New Guinea,PNG,2466.376220703125,3316.351318359375,34.46250780888309
Paraguay,PRY,4478.69140625,18397.521484375,310.7789489291742
Peru,PER,5306.89453125,10507.845703125,98.00366563248721
Philippines,PHL,2488.379150390625,5204.5390625,109.15378035067498
Poland,POL,39490.70703125,31269.9375,-20.816972268297697
Portugal,PRT,15170.8388671875,28655.552734375,88.88574972840253
Puerto Rico,PRI,20477.658203125,27927.337890625,36.37954893867277
Qatar,QAT,178248.890625,206620.53125,15.916867995935103
Reunion,REU,8756.6748046875,15930.8876953125,81.92850654662432
Romania,ROU,30986.779296875,20002.615234375,-35.44790491862363
Russia,RUS,66839.1171875,57172.5546875,-14.462432938608295
Rwanda,RWA,531.5958862304688,499.5462341308594,-6.028950360559138
Saint Helena,SHN,1868.0377197265625,8870.779296875,374.8715297983103
Saint Kitts and Nevis,KNA,5761.87548828125,21073.541015625,265.740999757549
Saint Lucia,LCA,4162.21337890625,14909.1689453125,258.20289802706714
Saint Pierre and Miquelon,SPM,93074.1640625,64130.15234375,-31.097793904776704
Saint Vincent and the Grenadines,VCT,2411.6923828125,8153.638671875,238.08783947670307
Samoa,WSM,3297.97998046875,7959.0146484375,141.32998670617357
