Entity,Code,kWh80,kWh20,Calc
Afghanistan,AFG,583.29443359375,945.6453857421876,62.121448668033395
Albania,ALB,17804.939453125,11266.2578125,-36.7239757138145
Algeria,DZA,9215.7998046875,16140.1962890625,75.13614261513139
American Samoa,ASM,52902.28125,26023.669921875,-50.80803831710943
Angola,AGO,2050.693603515625,3429.5927734375,67.24062373618112
Antigua and Barbuda,ATG,27500.93359375,31384.86328125,14.12290122537032
Argentina,ARG,16918.916015625,20785.9140625,22.85606266562077
Australia,AUS,57871.11328125,66614.8828125,15.109039787701729
Austria,AUT,42166.14453125,47818.359375,13.404628064965852
Bahamas,BHS,83936.3828125,41170.375,-50.95050129576371
Bahrain,BHR,111626.2890625,145193.28125,30.070866342878876
Bangladesh,BGD,436.3460388183594,2775.810302734375,536.1488488015998
Barbados,BRB,16962.009765625,24536.79296875,44.657344900696636
Belgium,BEL,57362.0859375,64934.01953125,13.200241012853242
Belize,BLZ,7303.615234375,9246.8447265625,26.606405592692628
Benin,BEN,514.5690307617188,2482.886474609375,382.5176654984361
Bermuda,BMU,40602.8359375,51712.70703125,27.36230324121063
Bhutan,BTN,97.25495910644533,29338.076171875,30066.149306344927
Bolivia,BOL,3915.4423828125,7940.38330078125,102.79658144471524
Botswana,BWA,4814.15283203125,9992.3232421875,107.56140469207764
Brazil,BRA,9237.7080078125,16525.109375,78.88754830770155
British Virgin Islands,VGB,10843.13671875,23485.607421875,116.59422020625807
Brunei,BRN,124442.2890625,121637.2578125,-2.254082009525882
Bulgaria,BGR,37842.1015625,30017.486328125,-20.67701029091069
Burkina Faso,BFA,259.28582763671875,946.6964721679688,265.11693708703973
Burundi,BDI,112.38117980957033,318.7487487792969,183.63178720797907
Cambodia,KHM,197.61981201171875,3994.23681640625,1921.172257855095
Cameroon,CMR,1600.5015869140625,1814.0289306640625,13.34127660327431
Canada,CAN,111058.1328125,108631.0625,-2.1854052927376633
Cape Verde,CPV,4227.37890625,7776.23779296875,83.94939193815611
Cayman Islands,CYM,25506.326171875,51434.8359375,101.65521130289443
Central African Republic,CAF,365.71392822265625,328.43511962890625,-10.193434189100303
Chad,TCD,267.5906677246094,461.7154235839844,72.5454133023646
Chile,CHL,9371.91015625,25430.2265625,171.34518084918818
China,CHN,4827.10302734375,27883.208984375,477.6385717567442
Colombia,COL,7008.03564453125,10647.3740234375,51.93093419475146
Comoros,COM,622.4031982421875,1567.0634765625,151.77625709319207
Congo,COG,1872.1214599609373,4734.8818359375,152.91531223814374
Cook Islands,COK,7006.43798828125,27921.376953125,298.51029866853065
Costa Rica,CRI,6760.82861328125,13158.58984375,94.6298389801026
Cote d'Ivoire,CIV,2667.44189453125,2410.60791015625,-9.628475315678187
Cuba,CUB,13543.33203125,9608.341796875,-29.05481623942594
Cyprus,CYP,14996.41796875,27110.1328125,80.77738876705713
Czechia,CZE,59989.44140625,44705.38671875,-25.477907993835114
Democratic Republic of Congo,COD,996.1051025390624,402.06201171875,-59.63658747516725
Denmark,DNK,45465.14453125,33887.265625,-25.465395580766415
Djibouti,DJI,17676.994140625,2598.322998046875,-85.30110392425006
Dominica,DMA,1958.2171630859373,10994.0791015625,461.4330886691355
Dominican Republic,DOM,4355.9013671875,11434.634765625,162.50903777943134
Ecuador,ECU,4858.8388671875,12162.4833984375,150.3166647606418
Egypt,EGY,4887.25,10436.3896484375,113.54319194715843
El Salvador,SLV,2884.733642578125,7069.9658203125,145.0821010287098
Equatorial Guinea,GNQ,999.3779296875,16879.8984375,1589.0405457301074
Eswatini,SWZ,4742.78271484375,5678.396484375,19.727105916174658
Ethiopia,ETH,251.3217620849609,943.6289672851562,275.46647749754214
Faeroe Islands,FRO,3442.090087890625,80176.8828125,2229.3080879714526
Falkland Islands,FLK,27984.37109375,61361.54296875,119.27075925052475
Fiji,FJI,6971.26123046875,9642.4267578125,38.31681870805666
Finland,FIN,55273.4140625,59174.6484375,7.058066597060031
France,FRA,42830.2578125,41949.1015625,-2.057321844424753
French Guiana,GUF,22620.611328125,16525.94140625,-26.942993862846155
French Polynesia,PYF,5929.15185546875,16894.357421875,184.93716864904545
Gabon,GAB,11475.8544921875,7848.57666015625,-31.60791063097409
Gambia,GMB,1027.4678955078125,1039.447998046875,1.1659831505627327
Germany,DEU,54152.5859375,44244.8828125,-18.295900285232804
Ghana,GHA,2291.18994140625,3294.342529296875,43.783039099539955
Greece,GRC,20889.96484375,29698.73828125,42.167488090031256
Greenland,GRL,45655.73046875,62156.1171875,36.14088866685427
Grenada,GRD,2019.7362060546875,11660.6337890625,477.33449319305663
Guadeloupe,GLP,6144.2119140625,21482.748046875,249.64204274443378
Guam,GUM,140601.828125,44771.29296875,-68.15738915645767
Guatemala,GTM,2596.31787109375,5688.77685546875,119.10941332743054
Guinea,GIN,818.144775390625,1211.76171875,48.110915720441014
Guinea-Bissau,GNB,458.2870788574219,721.2616577148438,57.38206268286174
Guyana,GUY,7822.22705078125,14245.7978515625,82.11946238686197
Haiti,HTI,838.0394287109375,1163.58642578125,38.846262588272864
Honduras,HND,2624.53466796875,5802.88525390625,121.10148990325106
Hong Kong,HKG,15691.0751953125,46358.28125,195.443624308479
Hungary,HUN,29926.55859375,28394.326171875,-5.1199753458956
Iceland,ISL,71681.0390625,186788.25,160.58250890746146
India,IND,1743.4638671875,6941.9697265625,298.17112687061666
Indonesia,IDN,2072.67236328125,8977.1513671875,333.11965394162735
Iran,IRN,10505.892578125,39347.41796875,274.52713014292385
Iraq,IRQ,7423.9140625,15723.4521484375,111.79464115648226
Ireland,IRL,29669.583984375,38240.21875,28.88693946682428
Israel,ISR,25014.5234375,35454.7578125,41.73669109101932
Italy,ITA,30591.171875,30077.876953125,-1.6779184660607238
Jamaica,JAM,15725.275390625,14562.763671875,-7.3926318609533475
Japan,JPN,36195.2265625,40524.43359375,11.960712619865932
Jordan,JOR,9591.31640625,11483.71875,19.73037134419684
Kenya,KEN,1790.0374755859375,1849.1697998046875,3.3034126394138275
Kiribati,KIR,2095.6650390625,2738.874267578125,30.692368127845747
Kuwait,KWT,61902.02734375,113976.2578125,84.1236268072046
Laos,LAO,1165.8497314453125,21448.955078125,1739.770126423975
Lebanon,LBN,11691.6796875,15613.75,33.545824187205774
Lesotho,LSO,446.1210632324219,2292.675537109375,413.9133132377855
Liberia,LBR,4994.42431640625,1111.5142822265625,-77.74489687279204
Libya,LBY,36571.65234375,25863.947265625,-29.278701923225846
Luxembourg,LUX,107022.171875,76797.96875,-28.241066870051313
Macao,MAC,8488.55078125,23858.013671875,181.0610937802711
