,Dim1,FactValueNumeric,Code,Location,ParentLocation,LifeExpectancy
0,Cities,10.01,KEN,Kenya,Africa,62.943
1,Cities,10.06,GBR,United Kingdom of Great Britain and Northern Ireland,Europe,81.2048780487805
2,Cities,10.19,RUS,Russian Federation,Europe,73.0839024390244
3,Cities,10.19,ESP,Spain,Europe,83.8317073170732
4,Cities,10.38,HTI,Haiti,Americas,64.255
5,Cities,10.39,TTO,Trinidad and Tobago,Americas,74.228
6,Cities,10.45,BLZ,Belize,Americas,73.931
7,Cities,10.7,DNK,Denmark,Europe,81.4512195121951
8,Cities,11.07,ARG,Argentina,Americas,77.284
9,Cities,11.15,NLD,Netherlands,Europe,82.1121951219512
10,Cities,11.32,JPN,Japan,Western Pacific,84.3563414634146
11,Cities,11.75,BRA,Brazil,Americas,75.338
12,Cities,11.83,LTU,Lithuania,Europe,76.2829268292683
13,Cities,11.85,PAN,Panama,Americas,77.81
14,Cities,11.92,DEU,Germany,Europe,81.2926829268293
15,Cities,12.01,GUY,Guyana,Americas,69.124
16,Cities,12.03,FRA,France,Europe,82.8268292682927
17,Cities,12.3,BEL,Belgium,Europe,81.9951219512195
18,Cities,12.34,MDV,Maldives,South-East Asia,80.116
19,Cities,13.08,MLT,Malta,Europe,82.8585365853659
20,Cities,13.21,SUR,Suriname,Americas,72.242
21,Cities,13.33,SGP,Singapore,Western Pacific,83.5951219512195
22,Cities,13.33,AUT,Austria,Europe,81.8951219512195
23,Cities,13.5,PRY,Paraguay,Americas,73.621
24,Cities,13.63,MDA,Republic of Moldova,Europe,70.935
25,Cities,13.92,MAR,Morocco,Eastern Mediterranean,74.27
26,Cities,14.04,NAM,Namibia,Africa,63.075
27,Cities,14.61,ROU,Romania,Europe,75.6073170731707
28,Cities,14.71,COM,Comoros,Africa,64.068
29,Cities,14.78,BWA,Botswana,Africa,65.464
30,Cities,14.92,SOM,Somalia,Eastern Mediterranean,57.078
31,Cities,15.01,ZWE,Zimbabwe,Africa,61.292
32,Cities,15.03,CZE,Czechia,Europe,79.2292682926829
33,Cities,15.2,UKR,Ukraine,Europe,71.8273170731707
34,Cities,15.22,HRV,Croatia,Europe,78.4243902439025
35,Cities,15.46,CRI,Costa Rica,Americas,79.427
36,Cities,15.55,ITA,Italy,Europe,83.4975609756098
37,Cities,15.64,LVA,Latvia,Europe,75.3878048780488
38,Cities,15.93,TZA,United Republic of Tanzania,Africa,66.989
39,Cities,15.94,SVN,Slovenia,Europe,81.5292682926829
40,Cities,15.97,COL,Colombia,Americas,76.752
41,Cities,16.07,HUN,Hungary,Europe,76.3195121951219
42,Cities,16.16,GRC,Greece,Europe,81.6390243902439
43,Cities,16.29,CYP,Cyprus,Europe,81.397
44,Cities,16.35,SWZ,Eswatini,Africa,60.549
45,Cities,16.64,SVK,Slovakia,Europe,77.6658536585366
46,Cities,16.7,VEN,Venezuela (Bolivarian Republic of),Americas,72.161
47,Cities,16.7,ALB,Albania,Europe,79.282
48,Cities,16.91,BTN,Bhutan,South-East Asia,71.391
49,Cities,17.07,NIC,Nicaragua,Americas,74.054
50,Cities,17.31,ECU,Ecuador,Americas,77.297
51,Cities,17.51,BLR,Belarus,Europe,74.2268292682927
52,Cities,17.6,JAM,Jamaica,Americas,71.767
53,Cities,18.3,MNE,Montenegro,Europe,76.6829268292683
54,Cities,18.52,MOZ,Mozambique,Africa,61.166
55,Cities,18.63,BGR,Bulgaria,Europe,75.1121951219512
56,Cities,18.71,CUB,Cuba,Americas,77.611
57,Cities,19.04,MEX,Mexico,Americas,74.202
58,Cities,19.43,ZMB,Zambia,Africa,62.793
59,Cities,19.75,HND,Honduras,Americas,72.881
60,Cities,19.8,KHM,Cambodia,Western Pacific,70.692
61,Cities,20.36,POL,Poland,Europe,77.9048780487805
62,Cities,20.41,LSO,Lesotho,Africa,54.173
63,Cities,20.42,ISR,Israel,Europe,82.8048780487805
64,Cities,20.65,SSD,South Sudan,Africa,55.912
65,Cities,20.82,MWI,Malawi,Africa,64.119
66,Cities,20.89,MDG,Madagascar,Africa,65.882
67,Cities,21.04,DJI,Djibouti,Eastern Mediterranean,63.085
68,Cities,21.29,IDN,Indonesia,South-East Asia,70.518
69,Cities,21.66,GEO,Georgia,Europe,73.47
70,Cities,21.91,SRB,Serbia,Europe,75.9365853658537
71,Cities,22.26,TLS,Timor-Leste,South-East Asia,68.268
72,Cities,22.63,CHL,Chile,Americas,80.326
73,Cities,23.28,VNM,Viet Nam,Western Pacific,74.093
74,Cities,23.31,GTM,Guatemala,Americas,73.129
75,Cities,23.34,TUR,Türkiye,Europe,77.832
76,Cities,23.5,ETH,Ethiopia,Africa,65.838
77,Cities,23.75,DZA,Algeria,Africa,76.474
78,Cities,23.78,ZAF,South Africa,Africa,66.175
79,Cities,23.84,SLV,El Salvador,Americas,72.559
80,Cities,24.22,KOR,Republic of Korea,Western Pacific,83.2268292682927
81,Cities,24.42,SDN,Sudan,Eastern Mediterranean,65.876
82,Cities,24.61,LBN,Lebanon,Eastern Mediterranean,79.236
83,Cities,24.63,ERI,Eritrea,Africa,67.3
84,Cities,24.87,LAO,Lao People's Democratic Republic,Western Pacific,68.138
85,Cities,25.26,LKA,Sri Lanka,South-East Asia,76.008
86,Cities,25.32,MYS,Malaysia,Western Pacific,75.76
87,Cities,25.39,PHL,Philippines,Western Pacific,71.865
88,Cities,26.02,TKM,Turkmenistan,Europe,69.002
89,Cities,26.28,JOR,Jordan,Eastern Mediterranean,76.044
90,Cities,26.34,THA,Thailand,South-East Asia,78.975
91,Cities,26.57,SYR,Syrian Arab Republic,Eastern Mediterranean,71.822
92,Cities,27.15,AZE,Azerbaijan,Europe,73.102
93,Cities,27.43,BOL,Bolivia (Plurinational State of),Americas,67.841
94,Cities,27.85,MMR,Myanmar,South-East Asia,66.61
95,Cities,28.4,LBY,Libya,Eastern Mediterranean,72.463
96,Cities,28.68,GNQ,Equatorial Guinea,Africa,61.644
97,Cities,28.72,TUN,Tunisia,Eastern Mediterranean,75.993
98,Cities,29.04,BDI,Burundi,Africa,62.351
99,Cities,32.53,BIH,Bosnia and Herzegovina,Europe,77.241
100,Cities,32.61,BEN,Benin,Africa,60.454
101,Cities,32.7,PER,Peru,Americas,76.156
102,Cities,32.75,MKD,The former Yugoslav Republic of Macedonia,Europe,76.6024390243903
