,Date,Value,Series
240,2016 JAN,99.7,Electricity
241,2016 FEB,100.2,Electricity
242,2016 MAR,99.6,Electricity
243,2016 APR,98.0,Electricity
244,2016 MAY,97.5,Electricity
245,2016 JUN,97.1,Electricity
246,2016 JUL,100.2,Electricity
247,2016 AUG,101.4,Electricity
248,2016 SEP,101.2,Electricity
249,2016 OCT,100.4,Electricity
250,2016 NOV,104.8,Electricity
251,2016 DEC,109.2,Electricity
252,2017 JAN,104.9,Electricity
253,2017 FEB,104.8,Electricity
254,2017 MAR,100.6,Electricity
255,2017 APR,100.0,Electricity
256,2017 MAY,103.0,Electricity
257,2017 JUN,103.2,Electricity
258,2017 JUL,102.2,Electricity
259,2017 AUG,101.7,Electricity
260,2017 SEP,102.5,Electricity
261,2017 OCT,106.9,Electricity
262,2017 NOV,108.9,Electricity
263,2017 DEC,110.9,Electricity
264,2018 JAN,109.0,Electricity
265,2018 FEB,109.4,Electricity
266,2018 MAR,104.9,Electricity
267,2018 APR,106.0,Electricity
268,2018 MAY,104.7,Electricity
269,2018 JUN,107.0,Electricity
270,2018 JUL,105.4,Electricity
271,2018 AUG,106.7,Electricity
272,2018 SEP,110.4,Electricity
273,2018 OCT,115.4,Electricity
274,2018 NOV,113.3,Electricity
275,2018 DEC,117.4,Electricity
276,2019 JAN,121.3,Electricity
277,2019 FEB,125.1,Electricity
278,2019 MAR,118.2,Electricity
279,2019 APR,123.8,Electricity
280,2019 MAY,121.2,Electricity
281,2019 JUN,124.3,Electricity
282,2019 JUL,123.1,Electricity
283,2019 AUG,123.1,Electricity
284,2019 SEP,121.3,Electricity
285,2019 OCT,127.1,Electricity
286,2019 NOV,131.5,Electricity
287,2019 DEC,135.4,Electricity
288,2020 JAN,133.7,Electricity
289,2020 FEB,130.5,Electricity
290,2020 MAR,127.9,Electricity
291,2020 APR,127.1,Electricity
292,2020 MAY,120.8,Electricity
293,2020 JUN,123.0,Electricity
294,2020 JUL,128.5,Electricity
295,2020 AUG,123.0,Electricity
296,2020 SEP,124.3,Electricity
297,2020 OCT,132.3,Electricity
298,2020 NOV,131.8,Electricity
299,2020 DEC,141.5,Electricity
300,2021 JAN,138.4,Electricity
301,2021 FEB,140.0,Electricity
302,2021 MAR,141.8,Electricity
303,2021 APR,138.6,Electricity
304,2021 MAY,136.0,Electricity
305,2021 JUN,131.0,Electricity
306,2021 JUL,135.9,Electricity
307,2021 AUG,142.7,Electricity
308,2021 SEP,151.2,Electricity
309,2021 OCT,149.1,Electricity
310,2021 NOV,176.8,Electricity
311,2021 DEC,151.2,Electricity
312,2022 JAN,161.3,Electricity
313,2022 FEB,162.2,Electricity
314,2022 MAR,167.9,Electricity
315,2022 APR,208.5,Electricity
316,2022 MAY,188.2,Electricity
317,2022 JUN,182.2,Electricity
318,2022 JUL,183.0,Electricity
319,2022 AUG,194.3,Electricity
320,2022 SEP,212.9,Electricity
321,2022 OCT,241.5,Electricity
85,2016 JAN,92.3,Gas
86,2016 FEB,90.2,Gas
87,2016 MAR,88.4,Gas
88,2016 APR,80.8,Gas
89,2016 MAY,76.7,Gas
90,2016 JUN,77.9,Gas
91,2016 JUL,81.2,Gas
92,2016 AUG,76.7,Gas
93,2016 SEP,75.6,Gas
94,2016 OCT,86.6,Gas
95,2016 NOV,90.3,Gas
96,2016 DEC,91.9,Gas
97,2017 JAN,96.5,Gas
98,2017 FEB,97.5,Gas
99,2017 MAR,90.3,Gas
100,2017 APR,86.2,Gas
101,2017 MAY,86.3,Gas
102,2017 JUN,81.2,Gas
103,2017 JUL,81.3,Gas
104,2017 AUG,85.7,Gas
105,2017 SEP,87.4,Gas
106,2017 OCT,87.7,Gas
107,2017 NOV,94.6,Gas
108,2017 DEC,96.9,Gas
109,2018 JAN,97.5,Gas
110,2018 FEB,100.5,Gas
111,2018 MAR,105.1,Gas
112,2018 APR,99.7,Gas
113,2018 MAY,100.9,Gas
114,2018 JUN,101.2,Gas
115,2018 JUL,100.0,Gas
116,2018 AUG,106.8,Gas
117,2018 SEP,116.0,Gas
118,2018 OCT,112.1,Gas
119,2018 NOV,113.4,Gas
120,2018 DEC,112.4,Gas
121,2019 JAN,113.2,Gas
122,2019 FEB,112.3,Gas
123,2019 MAR,99.4,Gas
124,2019 APR,98.5,Gas
125,2019 MAY,91.0,Gas
126,2019 JUN,86.8,Gas
127,2019 JUL,89.2,Gas
128,2019 AUG,88.7,Gas
129,2019 SEP,86.8,Gas
130,2019 OCT,89.7,Gas
131,2019 NOV,99.2,Gas
132,2019 DEC,102.5,Gas
133,2020 JAN,102.5,Gas
134,2020 FEB,100.4,Gas
135,2020 MAR,93.6,Gas
136,2020 APR,83.6,Gas
137,2020 MAY,77.6,Gas
138,2020 JUN,77.7,Gas
139,2020 JUL,72.6,Gas
140,2020 AUG,78.8,Gas
141,2020 SEP,81.7,Gas
142,2020 OCT,91.9,Gas
143,2020 NOV,90.6,Gas
144,2020 DEC,96.3,Gas
145,2021 JAN,101.5,Gas
146,2021 FEB,100.9,Gas
147,2021 MAR,100.3,Gas
148,2021 APR,99.4,Gas
149,2021 MAY,107.9,Gas
150,2021 JUN,108.4,Gas
151,2021 JUL,119.7,Gas
152,2021 AUG,130.7,Gas
153,2021 SEP,149.7,Gas
154,2021 OCT,157.8,Gas
155,2021 NOV,171.2,Gas
156,2021 DEC,161.7,Gas
157,2022 JAN,176.4,Gas
158,2022 FEB,168.4,Gas
159,2022 MAR,195.9,Gas
160,2022 APR,205.2,Gas
161,2022 MAY,200.0,Gas
162,2022 JUN,219.1,Gas
163,2022 JUL,232.9,Gas
164,2022 AUG,269.2,Gas
165,2022 SEP,261.4,Gas
166,2022 OCT,253.8,Gas
240,2016 JAN,99.6,Beverages
241,2016 FEB,99.6,Beverages
242,2016 MAR,101.1,Beverages
243,2016 APR,100.8,Beverages
244,2016 MAY,99.1,Beverages
245,2016 JUN,98.6,Beverages
246,2016 JUL,98.6,Beverages
247,2016 AUG,98.9,Beverages
248,2016 SEP,99.1,Beverages
249,2016 OCT,99.0,Beverages
250,2016 NOV,98.9,Beverages
251,2016 DEC,99.1,Beverages
252,2017 JAN,99.3,Beverages
253,2017 FEB,99.5,Beverages
254,2017 MAR,99.6,Beverages
255,2017 APR,99.8,Beverages
256,2017 MAY,99.8,Beverages
257,2017 JUN,99.8,Beverages
258,2017 JUL,99.6,Beverages
259,2017 AUG,99.2,Beverages
260,2017 SEP,99.3,Beverages
261,2017 OCT,99.2,Beverages
262,2017 NOV,98.8,Beverages
263,2017 DEC,99.7,Beverages
264,2018 JAN,99.5,Beverages
265,2018 FEB,99.8,Beverages
266,2018 MAR,100.1,Beverages
267,2018 APR,101.0,Beverages
268,2018 MAY,100.1,Beverages
269,2018 JUN,100.1,Beverages
270,2018 JUL,98.4,Beverages
271,2018 AUG,98.8,Beverages
272,2018 SEP,100.3,Beverages
273,2018 OCT,100.2,Beverages
274,2018 NOV,100.2,Beverages
275,2018 DEC,101.1,Beverages
276,2019 JAN,101.2,Beverages
277,2019 FEB,101.7,Beverages
278,2019 MAR,101.6,Beverages
279,2019 APR,103.1,Beverages
280,2019 MAY,104.0,Beverages
281,2019 JUN,104.4,Beverages
282,2019 JUL,102.8,Beverages
283,2019 AUG,103.2,Beverages
284,2019 SEP,103.2,Beverages
285,2019 OCT,103.3,Beverages
286,2019 NOV,103.1,Beverages
287,2019 DEC,103.4,Beverages
288,2020 JAN,103.6,Beverages
289,2020 FEB,104.5,Beverages
290,2020 MAR,107.2,Beverages
291,2020 APR,107.1,Beverages
292,2020 MAY,106.2,Beverages
293,2020 JUN,104.9,Beverages
294,2020 JUL,105.0,Beverages
295,2020 AUG,105.6,Beverages
296,2020 SEP,106.1,Beverages
297,2020 OCT,106.3,Beverages
298,2020 NOV,108.6,Beverages
299,2020 DEC,107.6,Beverages
300,2021 JAN,107.9,Beverages
301,2021 FEB,108.7,Beverages
302,2021 MAR,110.6,Beverages
303,2021 APR,107.8,Beverages
304,2021 MAY,107.2,Beverages
305,2021 JUN,108.2,Beverages
306,2021 JUL,108.5,Beverages
307,2021 AUG,108.6,Beverages
308,2021 SEP,108.0,Beverages
309,2021 OCT,107.5,Beverages
310,2021 NOV,108.2,Beverages
311,2021 DEC,107.5,Beverages
312,2022 JAN,110.5,Beverages
313,2022 FEB,112.6,Beverages
314,2022 MAR,112.8,Beverages
315,2022 APR,113.1,Beverages
316,2022 MAY,113.7,Beverages
317,2022 JUN,113.9,Beverages
318,2022 JUL,114.0,Beverages
319,2022 AUG,116.4,Beverages
320,2022 SEP,115.5,Beverages
321,2022 OCT,116.6,Beverages
240,2016 JAN,98.1,Food Products
241,2016 FEB,98.2,Food Products
242,2016 MAR,98.3,Food Products
243,2016 APR,98.0,Food Products
244,2016 MAY,97.5,Food Products
