Country,Code,PercentFossil
Afghanistan,AFG,16.82243
Africa,,76.90179
Africa (BP),,77.069855
Africa (Ember),,76.90179
Albania,ALB,0
Algeria,DZA,98.90468
American Samoa,ASM,100
Angola,AGO,27.66234
Antigua and Barbuda,ATG,97.05882
Argentina,ARG,68.00841
Armenia,ARM,39.17808
Aruba,ABW,83.69565
Asia,,73.42234
Asia (Ember),,71.63798
Asia Pacific (BP),,70.8768
Australia,AUS,78.62403
Austria,AUT,23.243013
Azerbaijan,AZE,93.13008
Bahamas,BHS,100
Bahrain,BHR,99.96819
Bangladesh,BGD,98.56622
Barbados,BRB,96.07843
Belarus,BLR,97.531845
Belgium,BEL,31.793095
Belize,BLZ,44.827587
Benin,BEN,95
Bhutan,BTN,0
Bolivia,BOL,59.91984
Bosnia and Herzegovina,BIH,63.318024
Botswana,BWA,99.6732
Brazil,BRA,14.694663
British Virgin Islands,VGB,100
Brunei,BRN,100
Bulgaria,BGR,45.070744
Burkina Faso,BFA,87.790695
Burundi,BDI,33.333332
CIS (BP),,67.217316
Cambodia,KHM,46.80095
Cameroon,CMR,35.80838
Canada,CAN,17.621672
Cape Verde,CPV,82.608696
Cayman Islands,CYM,97.14286
Central African Republic,CAF,0
Chad,TCD,96.7742
Chile,CHL,58.353794
China,CHN,68.3271
Colombia,COL,30.534937
Comoros,COM,100
Congo,COG,74.31694
Cook Islands,COK,75
Costa Rica,CRI,2.1872265
Cote d'Ivoire,CIV,65.469055
Croatia,HRV,34.044235
Cuba,CUB,80.440346
Cyprus,CYP,89.90291
Czechia,CZE,52.997437
Democratic Republic of Congo,COD,0.27075812
Denmark,DNK,21.815716
Djibouti,DJI,100
Dominica,DMA,77.77777
Dominican Republic,DOM,87.18214
Ecuador,ECU,18.544891
Egypt,EGY,89.33765
El Salvador,SLV,30.717865
Equatorial Guinea,GNQ,67.85715
Eritrea,ERI,97.72727
Estonia,EST,71.879105
Eswatini,SWZ,5.633803
Ethiopia,ETH,0.07027407
Europe,,44.275734
Europe (BP),,38.091362
Europe (Ember),,44.997036
European Union (27),,39.397346
European Union (27) (Ember),,39.397346
Faeroe Islands,FRO,59.459457
Falkland Islands,FLK,50
Fiji,FJI,37.16814
Finland,FIN,18.473015
France,FRA,9.458647
French Polynesia,PYF,67.64706
G20 (Ember),,61.9382
G7 (Ember),,54.192238
Gabon,GAB,55.309734
Gambia,GMB,100
Georgia,GEO,23.966244
Germany,DEU,47.2267
Ghana,GHA,56.1414
Greece,GRC,66.88632
Greenland,GRL,20
Grenada,GRD,100
Guam,GUM,96.0452
Guatemala,GTM,38.623188
Guinea,GIN,36.40777
Guinea-Bissau,GNB,100
Guyana,GUY,86.88524
Haiti,HTI,83.333336
High-income countries,,57.189606
Honduras,HND,48.471222
Hong Kong,HKG,99.94242
Hungary,HUN,38.384727
Iceland,ISL,0
India,IND,78.524086
Indonesia,IDN,83.73896
Iran,IRN,92.93466
Iraq,IRQ,94.01278
Ireland,IRL,61.628662
Israel,ISR,95.9565
Italy,ITA,60.243687
Jamaica,JAM,84.70588
Japan,JPN,74.13984
Jordan,JOR,84.45702
Kazakhstan,KAZ,89.57551
Kenya,KEN,10.801394
Kiribati,KIR,100
Kosovo,OWID_KOS,95.11811
Kuwait,KWT,99.914894
Kyrgyzstan,KGZ,7.6767673
Laos,LAO,33.38789
Latin America and Caribbean (Ember),,40.898056
Latvia,LVA,50.46584
Lebanon,LBN,94.35166
Lesotho,LSO,0
Liberia,LBR,100
Libya,LBY,99.96845
Lithuania,LTU,21.337576
Low-income countries,,35.03207
Lower-middle-income countries,,76.01276
Luxembourg,LUX,25.233643
Macao,MAC,100
Madagascar,MDG,54.726368
Malawi,MWI,12.352941
Malaysia,MYS,83.88434
Maldives,MDV,95.3125
Mali,MLI,64.75904
Malta,MLT,89.42308
Mauritania,MRT,74.72527
Mauritius,MUS,80.519485
Mexico,MEX,78.030685
Middle East (BP),,95.223335
Moldova,MDA,86.02151
Mongolia,MNG,90.04594
Montenegro,MNE,43.85965
Montserrat,MSR,100
Morocco,MAR,80.99049
Mozambique,MOZ,19.497864
Myanmar,MMR,53.959564
Namibia,NAM,2.9411764
Nauru,NRU,100
Nepal,NPL,0
Netherlands,NLD,77.8811
New Caledonia,NCL,82.80254
New Zealand,NZL,18.051119
Nicaragua,NIC,48.4375
Niger,NER,91.803276
Nigeria,NGA,73.175354
Non-OECD (BP),,69.36388
North America,,57.985237
North America (BP),,58.724823
North America (Ember),,56.436436
North Korea,PRK,17.9449
North Macedonia,MKD,77.17206
Norway,NOR,2.0584726
OECD (BP),,53.55764
OECD (Ember),,53.914066
Oceania,,69.805885
Oceania (Ember),,69.805885
Oman,OMN,99.94453
Other Africa (BP),,91.927414
Other Asia Pacific (BP),,329.19687
Other CIS (BP),,318.51282
Other Europe (BP),,428.9263
Other Middle East (BP),,448.8306
Other Northern Africa (BP),,300.1056
Other South America (BP),,168.82678
Other South and Central America (BP),,109.18452
Other Southern Africa (BP),,50.532505
Pakistan,PAK,63.544807
Palestine,PSE,84.41559
Panama,PAN,39.94225
Papua New Guinea,PNG,71.17117
Paraguay,PRY,0.14268243
Peru,PER,39.19731
Philippines,PHL,78.52564
Poland,POL,84.3842
Portugal,PRT,47.013344
Puerto Rico,PRI,97.27851
Qatar,QAT,99.91492
Romania,ROU,39.320717
Russia,RUS,63.069073
Rwanda,RWA,53.92157
Saint Kitts and Nevis,KNA,95.454544
Saint Lucia,LCA,100
Saint Pierre and Miquelon,SPM,100
Saint Vincent and the Grenadines,VCT,85.71429
Samoa,WSM,59.999996
Sao Tome and Principe,STP,88.888885
Saudi Arabia,SAU,99.93739
Senegal,SEN,86.073494
Serbia,SRB,71.4867
Seychelles,SYC,92.452835
Sierra Leone,SLE,9.523809
Singapore,SGP,98.37681
Slovakia,SVK,22.206455
Slovenia,SVN,31.65513
Solomon Islands,SLB,100
Somalia,SOM,94.28571
South Africa,ZAF,88.84294
South America,,27.813536
South Korea,KOR,69.22799
South Sudan,SSD,98.21429
South and Central America (BP),,32.267452
Spain,ESP,41.179073
Sri Lanka,LKA,63.66498
Sudan,SDN,34.11043
Suriname,SUR,50.76923
Sweden,SWE,1.989075
Switzerland,CHE,5.3834586
Syria,SYR,95.421684
Taiwan,TWN,83.10945
Tajikistan,TJK,6.8965516
Tanzania,TZA,59.078945
Thailand,THA,85.29983
Timor,TLS,100
Togo,TGO,64.28571
Tonga,TON,85.71429
Trinidad and Tobago,TTO,99.884254
Tunisia,TUN,96.009735
Turkey,TUR,56.31956
Turkmenistan,TKM,100
Turks and Caicos Islands,TCA,100
Uganda,UGA,1.8518518
Ukraine,UKR,37.855366
United Arab Emirates,ARE,97.06904
United Kingdom,GBR,45.07695
United States,USA,62.301437
United States Virgin Islands,VIR,98.38709
Upper-middle-income countries,,65.3686
Uruguay,URY,11.720697
Uzbekistan,UZB,89.2364
Vanuatu,VUT,71.42857
Venezuela,VEN,40.10837
Vietnam,VNM,68.320496
