,Code,GDPperCapita,Country,PercentFossil
0,AFG,500.522664145294,Afghanistan,16.82243
1,ALB,5396.21586434732,Albania,0.0
2,DZA,4022.15018374716,Algeria,98.90468
3,ASM,13672.576657298,American Samoa,100.0
4,AGO,2142.23875712854,Angola,27.66234
5,ATG,18319.4560540762,Antigua and Barbuda,97.05882
6,ARG,9963.6725062053,Argentina,68.00841
7,ARM,4828.50517771789,Armenia,39.17808
8,ABW,31650.7605367511,Aruba,83.69565
9,AUS,54941.4341793948,Australia,78.62403
10,AUT,50070.4033482901,Austria,23.243013
11,AZE,4805.75371765917,Azerbaijan,93.13008
12,BHS,32610.4850490784,Bahamas,100.0
13,BHR,25869.1129129041,Bahrain,99.96819
14,BGD,2122.07885124799,Bangladesh,98.56622
15,BRB,19002.9623813263,Barbados,96.07843
16,BLR,6837.71782606351,Belarus,97.531845
17,BEL,46638.6813054855,Belgium,31.793095
18,BLZ,6210.56554311929,Belize,44.827587
19,BEN,1170.96553298099,Benin,95.0
20,BTN,3303.96421053812,Bhutan,0.0
21,BOL,3472.38083075685,Bolivia,59.91984
22,BIH,6011.37067052755,Bosnia and Herzegovina,63.318024
23,BWA,6679.16767381458,Botswana,99.6732
24,BRA,8845.25911841876,Brazil,14.694663
25,BRN,30748.7374865551,Brunei,100.0
26,BGR,9879.33434282707,Bulgaria,45.070744
27,BFA,772.166894917835,Burkina Faso,87.790695
28,BDI,216.972968085123,Burundi,33.333332
29,CPV,3434.56274492859,Cape Verde,82.608696
30,KHM,1671.38538492515,Cambodia,46.80095
31,CMR,1538.68794663506,Cameroon,35.80838
32,CAN,46328.6718408497,Canada,17.621672
33,CYM,89871.9131394463,Cayman Islands,97.14286
34,CAF,426.408762581226,Central African Republic,0.0
35,TCD,701.621216594764,Chad,96.7742
36,CHL,14631.9468779229,Chile,58.353794
37,CHN,10143.8381955585,China,68.3271
38,COL,6438.06018290435,Colombia,30.534937
39,COM,1510.79735809965,Comoros,100.0
40,COD,575.882790805511,Democratic Republic of Congo,0.27075812
41,COG,2288.80813763495,Congo,74.31694
42,CRI,12669.341068679,Costa Rica,2.1872265
43,CIV,2238.81100489009,Cote d'Ivoire,65.469055
44,HRV,15331.8830536722,Croatia,34.044235
45,CUB,9139.41585605765,Cuba,80.440346
46,CYP,29417.138671875,Cyprus,89.90291
47,CZE,23664.8478631108,Czechia,52.997437
48,DNK,59592.9806886454,Denmark,21.815716
49,DJI,2876.04366371536,Djibouti,100.0
50,DMA,8561.58701121461,Dominica,77.77777
51,DOM,8173.33800656006,Dominican Republic,87.18214
52,ECU,6233.25816692363,Ecuador,18.544891
53,EGY,2869.57658843903,Egypt,89.33765
54,SLV,4280.28840404719,El Salvador,30.717865
55,GNQ,7317.39018853546,Equatorial Guinea,67.85715
56,EST,23424.4847073518,Estonia,71.879105
57,SWZ,3843.3773913814,Eswatini,5.633803
58,ETH,840.449451464836,Ethiopia,0.07027407
59,FRO,63383.196148417,Faeroe Islands,59.459457
60,FJI,5968.30055949885,Fiji,37.16814
61,FIN,48629.8582283032,Finland,18.473015
62,FRA,40494.8982936276,France,9.458647
63,PYF,20023.5047046924,French Polynesia,67.64706
64,GAB,7523.8622784598,Gabon,55.309734
65,GMB,722.874793145171,Gambia,100.0
66,GEO,4696.15058555612,Georgia,23.966244
67,DEU,46793.6867616004,Germany,47.2267
68,GHA,2167.91158941087,Ghana,56.1414
69,GRC,19144.284387556,Greece,66.88632
70,GRL,53256.2440862119,Greenland,20.0
71,GRD,9887.92074235834,Grenada,100.0
72,GUM,37752.633077142,Guam,96.0452
73,GTM,4647.69334663252,Guatemala,38.623188
74,GIN,1043.8998820932,Guinea,36.40777
75,GNB,730.611448705215,Guinea-Bissau,100.0
76,GUY,6477.29672607993,Guyana,86.88524
77,HTI,1324.84400548618,Haiti,83.333336
78,HND,2519.37019370185,Honduras,48.471222
79,HKG,48356.0635043614,Hong Kong,99.94242
80,HUN,16782.9524639857,Hungary,38.384727
81,ISL,68853.71521658,Iceland,0.0
82,IND,2047.23270433512,India,78.524086
83,IDN,4151.22754296453,Indonesia,83.73896
84,IRN,3277.875595507,Iran,92.93466
85,IRQ,5621.18169491752,Iraq,94.01278
