Date,North East,East of England,South East,South West,East Midlands,West Midlands,Yorkshire and The Humber,North West,
Jan-80,no data,no data,no data,"£19,937 ","£15,486 ","£16,872 ","£14,106 ",no data,
Feb-80,no data,no data,no data,"£19,937 ","£15,486 ","£16,872 ","£14,106 ",no data,
Mar-80,no data,no data,no data,"£19,937 ","£15,486 ","£16,872 ","£14,106 ",no data,
Apr-80,no data,no data,no data,"£20,405 ","£16,260 ","£17,170 ","£15,060 ",no data,
May-80,no data,no data,no data,"£20,405 ","£16,260 ","£17,170 ","£15,060 ",no data,
Jun-80,no data,no data,no data,"£20,405 ","£16,260 ","£17,170 ","£15,060 ",no data,
Jul-80,no data,no data,no data,"£22,426 ","£17,379 ","£17,993 ","£15,666 ",no data,
Aug-80,no data,no data,no data,"£22,426 ","£17,379 ","£17,993 ","£15,666 ",no data,
Sep-80,no data,no data,no data,"£22,426 ","£17,379 ","£17,993 ","£15,666 ",no data,
Oct-80,no data,no data,no data,"£22,064 ","£16,787 ","£18,098 ","£15,757 ",no data,
Nov-80,no data,no data,no data,"£22,064 ","£16,787 ","£18,098 ","£15,757 ",no data,
Dec-80,no data,no data,no data,"£22,064 ","£16,787 ","£18,098 ","£15,757 ",no data,
Jan-81,no data,no data,no data,"£21,128 ","£17,033 ","£18,116 ","£16,424 ",no data,
Feb-81,no data,no data,no data,"£21,128 ","£17,033 ","£18,116 ","£16,424 ",no data,
Mar-81,no data,no data,no data,"£21,128 ","£17,033 ","£18,116 ","£16,424 ",no data,
Apr-81,no data,no data,no data,"£22,192 ","£17,807 ","£18,396 ","£17,151 ",no data,
May-81,no data,no data,no data,"£22,192 ","£17,807 ","£18,396 ","£17,151 ",no data,
Jun-81,no data,no data,no data,"£22,192 ","£17,807 ","£18,396 ","£17,151 ",no data,
Jul-81,no data,no data,no data,"£22,894 ","£18,235 ","£18,554 ","£17,408 ",no data,
Aug-81,no data,no data,no data,"£22,894 ","£18,235 ","£18,554 ","£17,408 ",no data,
Sep-81,no data,no data,no data,"£22,894 ","£18,235 ","£18,554 ","£17,408 ",no data,
Oct-81,no data,no data,no data,"£21,447 ","£17,873 ","£17,731 ","£17,151 ",no data,
Nov-81,no data,no data,no data,"£21,447 ","£17,873 ","£17,731 ","£17,151 ",no data,
Dec-81,no data,no data,no data,"£21,447 ","£17,873 ","£17,731 ","£17,151 ",no data,
Jan-82,no data,no data,no data,"£21,937 ","£18,037 ","£17,906 ","£16,454 ",no data,
Feb-82,no data,no data,no data,"£21,937 ","£18,037 ","£17,906 ","£16,454 ",no data,
Mar-82,no data,no data,no data,"£21,937 ","£18,037 ","£17,906 ","£16,454 ",no data,
Apr-82,no data,no data,no data,"£22,596 ","£18,597 ","£18,694 ","£16,818 ",no data,
May-82,no data,no data,no data,"£22,596 ","£18,597 ","£18,694 ","£16,818 ",no data,
Jun-82,no data,no data,no data,"£22,596 ","£18,597 ","£18,694 ","£16,818 ",no data,
Jul-82,no data,no data,no data,"£22,788 ","£18,893 ","£18,712 ","£17,242 ",no data,
Aug-82,no data,no data,no data,"£22,788 ","£18,893 ","£18,712 ","£17,242 ",no data,
Sep-82,no data,no data,no data,"£22,788 ","£18,893 ","£18,712 ","£17,242 ",no data,
Oct-82,no data,no data,no data,"£23,681 ","£17,856 ","£18,957 ","£17,757 ",no data,
Nov-82,no data,no data,no data,"£23,681 ","£17,856 ","£18,957 ","£17,757 ",no data,
Dec-82,no data,no data,no data,"£23,681 ","£17,856 ","£18,957 ","£17,757 ",no data,
Jan-83,no data,no data,no data,"£23,618 ","£19,584 ","£19,623 ","£18,030 ",no data,
Feb-83,no data,no data,no data,"£23,618 ","£19,584 ","£19,623 ","£18,030 ",no data,
Mar-83,no data,no data,no data,"£23,618 ","£19,584 ","£19,623 ","£18,030 ",no data,
Apr-83,no data,no data,no data,"£25,107 ","£20,078 ","£19,798 ","£18,939 ",no data,
May-83,no data,no data,no data,"£25,107 ","£20,078 ","£19,798 ","£18,939 ",no data,
Jun-83,no data,no data,no data,"£25,107 ","£20,078 ","£19,798 ","£18,939 ",no data,
Jul-83,no data,no data,no data,"£25,532 ","£20,572 ","£20,849 ","£19,848 ",no data,
Aug-83,no data,no data,no data,"£25,532 ","£20,572 ","£20,849 ","£19,848 ",no data,
Sep-83,no data,no data,no data,"£25,532 ","£20,572 ","£20,849 ","£19,848 ",no data,
Oct-83,no data,no data,no data,"£26,384 ","£20,736 ","£20,324 ","£19,848 ",no data,
Nov-83,no data,no data,no data,"£26,384 ","£20,736 ","£20,324 ","£19,848 ",no data,
Dec-83,no data,no data,no data,"£26,384 ","£20,736 ","£20,324 ","£19,848 ",no data,
Jan-84,no data,no data,no data,"£25,745 ","£21,559 ","£20,849 ","£19,696 ",no data,
Feb-84,no data,no data,no data,"£25,745 ","£21,559 ","£20,849 ","£19,696 ",no data,
Mar-84,no data,no data,no data,"£25,745 ","£21,559 ","£20,849 ","£19,696 ",no data,
Apr-84,no data,no data,no data,"£26,809 ","£22,217 ","£21,200 ","£19,999 ",no data,
May-84,no data,no data,no data,"£26,809 ","£22,217 ","£21,200 ","£19,999 ",no data,
Jun-84,no data,no data,no data,"£26,809 ","£22,217 ","£21,200 ","£19,999 ",no data,
Jul-84,no data,no data,no data,"£27,660 ","£22,547 ","£21,900 ","£21,211 ",no data,
Aug-84,no data,no data,no data,"£27,660 ","£22,547 ","£21,900 ","£21,211 ",no data,
Sep-84,no data,no data,no data,"£27,660 ","£22,547 ","£21,900 ","£21,211 ",no data,
Oct-84,no data,no data,no data,"£28,086 ","£22,547 ","£21,900 ","£20,605 ",no data,
Nov-84,no data,no data,no data,"£28,086 ","£22,547 ","£21,900 ","£20,605 ",no data,
Dec-84,no data,no data,no data,"£28,086 ","£22,547 ","£21,900 ","£20,605 ",no data,
Jan-85,no data,no data,no data,"£27,660 ","£23,205 ","£21,375 ","£21,211 ",no data,
Feb-85,no data,no data,no data,"£27,660 ","£23,205 ","£21,375 ","£21,211 ",no data,
Mar-85,no data,no data,no data,"£27,660 ","£23,205 ","£21,375 ","£21,211 ",no data,
Apr-85,no data,no data,no data,"£29,575 ","£22,711 ","£22,426 ","£21,514 ",no data,
May-85,no data,no data,no data,"£29,575 ","£22,711 ","£22,426 ","£21,514 ",no data,
Jun-85,no data,no data,no data,"£29,575 ","£22,711 ","£22,426 ","£21,514 ",no data,
Jul-85,no data,no data,no data,"£30,001 ","£24,522 ","£23,127 ","£21,514 ",no data,
Aug-85,no data,no data,no data,"£30,001 ","£24,522 ","£23,127 ","£21,514 ",no data,
Sep-85,no data,no data,no data,"£30,001 ","£24,522 ","£23,127 ","£21,514 ",no data,
Oct-85,no data,no data,no data,"£31,277 ","£25,015 ","£22,952 ","£22,726 ",no data,
Nov-85,no data,no data,no data,"£31,277 ","£25,015 ","£22,952 ","£22,726 ",no data,
Dec-85,no data,no data,no data,"£31,277 ","£25,015 ","£22,952 ","£22,726 ",no data,
Jan-86,no data,no data,no data,"£32,128 ","£24,686 ","£23,477 ","£22,272 ",no data,
Feb-86,no data,no data,no data,"£32,128 ","£24,686 ","£23,477 ","£22,272 ",no data,
Mar-86,no data,no data,no data,"£32,128 ","£24,686 ","£23,477 ","£22,272 ",no data,
