Country,Date,Annual CO2 Emissions
United States,1900,662738378
United States,1901,721527528
United States,1902,764495745
United States,1903,894406917
United States,1904,882057522
United States,1905,986482421
United States,1906,1035471220
United States,1907,1203861393
United States,1908,1052812866
United States,1909,1165706090
United States,1910,1271582032
United States,1911,1258666523
United States,1912,1343565478
United States,1913,1442542037
United States,1914,1317980205
United States,1915,1367696953
United States,1916,1518980631
United States,1917,1670970570
United States,1918,1747718076
United States,1919,1479158809
United States,1920,1738245691
United States,1921,1423668567
United States,1922,1435758240
United States,1923,1896735721
United States,1924,1698320191
United States,1925,1758097952
United States,1926,1905959151
United States,1927,1862746373
United States,1928,1830870050
United States,1929,1963413966
United States,1930,1744828375
United States,1931,1484892625
United States,1932,1257773137
United States,1933,1348842461
United States,1934,1436196202
United States,1935,1492279833
United States,1936,1713350470
United States,1937,1792546073
United States,1938,1515692978
United States,1939,1670854053
United States,1940,1874914031
United States,1941,2043495546
United States,1942,2198165988
United States,1943,2271984950
United States,1944,2444854078
United States,1945,2359495386
United States,1946,2257403592
United States,1947,2485751989
United States,1948,2582445156
United States,1949,2164746794
United States,1950,2541361422
United States,1951,2618575989
United States,1952,2551082448
United States,1953,2612826366
United States,1954,2489313565
United States,1955,2728348348
United States,1956,2859820068
United States,1957,2835605945
United States,1958,2746936839
United States,1959,2831737062
United States,1960,2897138041
United States,1961,2886696092
United States,1962,2993718164
United States,1963,3126294023
United States,1964,3264110570
United States,1965,3399341865
United States,1966,3571208560
United States,1967,3705254221
United States,1968,3840702204
United States,1969,4034925667
United States,1970,4339471089
United States,1971,4365246732
United States,1972,4572790619
United States,1973,4784822811
United States,1974,4620820271
United States,1975,4478038483
United States,1976,4747563213
United States,1977,4889398200
United States,1978,4941142490
United States,1979,5008358608
United States,1980,4808295761
United States,1981,4686171508
United States,1982,4447079918
United States,1983,4429186731
United States,1984,4661920937
United States,1985,4652382863
United States,1986,4663165469
United States,1987,4825444723
United States,1988,5050267778
United States,1989,5131926576
United States,1990,5113454675
United States,1991,5057930940
United States,1992,5167480847
United States,1993,5267343060
United States,1994,5358824048
United States,1995,5421502465
United States,1996,5610581589
United States,1997,5686464995
United States,1998,5731049595
United States,1999,5804668919
United States,2000,6010508353
United States,2001,5904881595
United States,2002,5946770566
United States,2003,6011837495
United States,2004,6114006880
United States,2005,6134521473
United States,2006,6051668046
United States,2007,6131004158
United States,2008,5914077766
United States,2009,5478209686
United States,2010,5675786435
United States,2011,5540173478
United States,2012,5338698344
United States,2013,5474256770
United States,2014,5522807202
United States,2015,5371770557
United States,2016,5248023931
United States,2017,5207751278
United States,2018,5375490614
United States,2019,5255816207
United States,2020,4712770573
India,1900,11944740
India,1901,13196136
India,1902,14533836
India,1903,14820573
India,1904,16581390
India,1905,16951603
India,1906,19573686
India,1907,21800057
India,1908,24939921
India,1909,24172097
India,1910,23517201
India,1911,24813992
India,1912,28557928
India,1913,31506969
India,1914,31738989
India,1915,33184154
India,1916,33560310
India,1917,35064951
India,1918,39410722
India,1919,43030891
India,1920,34912536
India,1921,37553406
India,1922,36950533
India,1923,38020655
India,1924,40680490
India,1925,40136781
India,1926,39994677
India,1927,41938573
India,1928,40128884
India,1929,41765975
India,1930,42458548
India,1931,38904895
India,1932,36179469
India,1933,35516433
India,1934,39665751
India,1935,41450301
India,1936,40740574
India,1937,45129396
India,1938,50449974
India,1939,49381121
India,1940,52382436
India,1941,53654198
India,1942,53602556
India,1943,46707719
India,1944,47760808
India,1945,52946397
India,1946,52296688
India,1947,53253886
India,1948,53277630
India,1949,56265231
India,1950,61177440
India,1951,64099778
India,1952,67508821
India,1953,68788976
India,1954,72499950
India,1955,78878507
India,1956,81749186
India,1957,91739123
India,1958,95923794
India,1959,101560548
India,1960,111450248
India,1961,120539453
India,1962,132728645
India,1963,142601450
India,1964,139639166
India,1965,153867847
India,1966,159540062
India,1967,159725507
India,1968,174245743
India,1969,177589111
India,1970,181898660
India,1971,192144566
India,1972,203227421
India,1973,209291369
India,1974,216060663
India,1975,234438971
India,1976,244990017
India,1977,259214620
India,1978,263398423
India,1979,276542061
India,1980,291992232
India,1981,315265795
India,1982,325683632
India,1983,352530101
India,1984,361889225
India,1985,397952960
India,1986,426698557
India,1987,455758841
India,1988,492144025
India,1989,541134880
India,1990,578518195
India,1991,615924923
India,1992,656033132
India,1993,677916275
India,1994,716917563
India,1995,762120642
India,1996,825918856
India,1997,859686238
India,1998,877698067
India,1999,951748674
India,2000,978919215
India,2001,992560136
India,2002,1023027203
India,2003,1059616164
India,2004,1125471265
India,2005,1185953364
India,2006,1259744276
India,2007,1358152218
India,2008,1462814598
India,2009,1612816599
India,2010,1677887585
India,2011,1780129996
India,2012,1963586045
India,2013,2036937081
India,2014,2185855918
India,2015,2268567478
India,2016,2382223220
India,2017,2433855754
India,2018,2599805717
India,2019,2625968148
India,2020,2441792313
China,1900,0
China,1901,0
China,1902,95264
China,1903,1963904
China,1904,2088480
China,1905,2297328
China,1906,17110880
China,1907,16839744
China,1908,22731456
China,1909,20837168
China,1910,18748688
China,1911,27846400
China,1912,9786544
China,1913,10757504
China,1914,15106672
China,1915,16088624
China,1916,17964592
China,1917,19851552
China,1918,21042352
China,1919,24255680
China,1920,26769184
China,1921,25288928
China,1922,26633616
China,1923,32151600
China,1924,35093792
China,1925,33221488
China,1926,29590464
China,1927,33525600
China,1928,34107659
China,1929,35804175
China,1930,37907915
China,1931,40240718
China,1932,38584548
China,1933,42194279
China,1934,49254158
China,1935,57596609
China,1936,64955167
China,1937,60490599
China,1938,55302605
China,1939,67113397
China,1940,86046622
China,1941,107517569
China,1942,113740632
China,1943,97178706
China,1944,97768868
China,1945,50347067
China,1946,31259005
China,1947,33553489
China,1948,23836342
China,1949,59360384
China,1950,78835287
China,1951,102115213
China,1952,127999326
China,1953,133782883
China,1954,160877410
China,1955,190521461
China,1956,215823984
China,1957,255784962
China,1958,524617059
China,1959,720151557
China,1960,798799921
China,1961,570630187
China,1962,459618074
China,1963,456779449
China,1964,460637094
China,1965,500286364
China,1966,549459318
China,1967,460225895
China,1968,495506566
China,1969,607683366
China,1970,807952627
China,1971,909209700
China,1972,968645596
China,1973,1008292576
China,1974,1028099867
China,1975,1183214956
China,1976,1226421277
China,1977,1340831115
China,1978,1492777845
China,1979,1525661148
China,1980,1494495884
China,1981,1476487854
China,1982,1606585013
China,1983,1694216811
China,1984,1844828012
China,1985,1998082904
China,1986,2104213354
China,1987,2257738539
China,1988,2425893553
China,1989,2463654367
China,1990,2484854820
China,1991,2606096182
China,1992,2730787587
China,1993,2921650956
China,1994,3100002045
China,1995,3357908888
China,1996,3503233703
China,1997,3510169286
China,1998,3360455433
China,1999,3350340129
China,2000,3439152210
China,2001,3514933795
China,2002,3872595297
China,2003,4545013886
China,2004,5223754656
China,2005,5876555340
China,2006,6488803816
China,2007,6978611952
China,2008,7496832207
China,2009,7886532768
China,2010,8616652695
China,2011,9528555734
China,2012,9775621803
China,2013,9952743755
China,2014,9985583382
China,2015,9848419740
China,2016,9720444086
China,2017,9920459189
China,2018,10289989525
China,2019,10489988555
China,2020,10667887453
Russia,1900,45896172
Russia,1901,47118968
Russia,1902,45509438
Russia,1903,44516895
Russia,1904,49528790
Russia,1905,44210638
Russia,1906,50427444
Russia,1907,56483298
Russia,1908,56829794
Russia,1909,59990730
Russia,1910,58832763
Russia,1911,60996686
Russia,1912,69095748
Russia,1913,75059947
Russia,1914,67743296
Russia,1915,62179243
Russia,1916,66272365
Russia,1917,60992215
Russia,1918,24324010
Russia,1919,20776340
Russia,1920,18945500
Russia,1921,20546087
Russia,1922,25057240
Russia,1923,27679431
Russia,1924,32977465
Russia,1925,32548257
Russia,1926,47159206
Russia,1927,58631572
Russia,1928,65135431
Russia,1929,70145517
Russia,1930,95357045
Russia,1931,114558820
Russia,1932,129074876
Russia,1933,144254529
Russia,1934,174493540
Russia,1935,197516978
Russia,1936,226491019
Russia,1937,231596499
Russia,1938,244438914
Russia,1939,247436808
Russia,1940,296643936
Russia,1941,260609224
Russia,1942,141681044
Russia,1943,147866554
Russia,1944,214433999
Russia,1945,227022026
Russia,1946,255132711
Russia,1947,307220637
Russia,1948,326912852
Russia,1949,371617326
Russia,1950,414228286
Russia,1951,448930218
Russia,1952,480734749
Russia,1953,508590576
Russia,1954,555458805
Russia,1955,629836084
Russia,1956,690553819
Russia,1957,755681837
Russia,1958,806603261
Russia,1959,848034678
Russia,1960,882927058
Russia,1961,910542450
Russia,1962,955666762
Russia,1963,1024911159
Russia,1964,1090019669
Russia,1965,1156311677
Russia,1966,1221122990
Russia,1967,1276867048
Russia,1968,1312749468
Russia,1969,1367141080
Russia,1970,1437870582
Russia,1971,1525873920
Russia,1972,1605410945
Russia,1973,1673209228
Russia,1974,1736920950
Russia,1975,1825754949
Russia,1976,1896072664
Russia,1977,1960565087
Russia,1978,2027893811
Russia,1979,2044713319
Russia,1980,2125165158
Russia,1981,2084697846
Russia,1982,2124002311
Russia,1983,2154129018
Russia,1984,2173259315
Russia,1985,2343796323
Russia,1986,2344123760
Russia,1987,2355475479
Russia,1988,2430947449
Russia,1989,2400308425
Russia,1990,2525517951
Russia,1991,2396204964
Russia,1992,1957886127
Russia,1993,1859679401
Russia,1994,1641616084
Russia,1995,1613141141
Russia,1996,1580375678
Russia,1997,1475360211
Russia,1998,1458367830
Russia,1999,1486300503
Russia,2000,1471259489
Russia,2001,1507706569
Russia,2002,1495693637
Russia,2003,1525606991
Russia,2004,1530694319
Russia,2005,1547599053
Russia,2006,1606541855
Russia,2007,1604549406
Russia,2008,1636923059
Russia,2009,1528961075
Russia,2010,1613113034
Russia,2011,1665206778
Russia,2012,1680104359
Russia,2013,1619419684
Russia,2014,1622588593
Russia,2015,1623099849
Russia,2016,1618598940
Russia,2017,1646456968
Russia,2018,1691646718
Russia,2019,1679449327
Russia,2020,1577136041
Japan,1900,19411872
Japan,1901,23273728
Japan,1902,24944512
Japan,1903,25787232
Japan,1904,29051856
Japan,1905,29931216
Japan,1906,32855088
Japan,1907,35071808
Japan,1908,37632944
Japan,1909,38255824
Japan,1910,39384336
Japan,1911,44209824
Japan,1912,49280800
Japan,1913,54315136
Japan,1914,58015776
Japan,1915,52842208
Japan,1916,58598352
Japan,1917,67483552
Japan,1918,71543264
Japan,1919,79193696
Japan,1920,74280272
Japan,1921,66809376
Japan,1922,71429680
Japan,1923,75907088
Japan,1924,79347584
Japan,1925,82011312
Japan,1926,82604880
Japan,1927,89482208
Japan,1928,92390568
Japan,1929,94880335
Japan,1930,86165789
Japan,1931,77904004
Japan,1932,77980502
Japan,1933,91342495
Japan,1934,101202823
Japan,1935,106382481
Japan,1936,116849074
Japan,1937,125430964
Japan,1938,131735124
Japan,1939,127746841
Japan,1940,153244280
Japan,1941,154604564
Japan,1942,147791833
Japan,1943,150637473
Japan,1944,138732713
Japan,1945,76635163
Japan,1946,52706560
Japan,1947,70032368
Japan,1948,88082370
Japan,1949,98420107
Japan,1950,102540986
Japan,1951,123457651
Japan,1952,130405972
Japan,1953,145769795
Japan,1954,142534085
Japan,1955,141875010
Japan,1956,160635757
Japan,1957,188066748
Japan,1958,181160879
Japan,1959,192619987
Japan,1960,232499641
Japan,1961,282786898
Japan,1962,292864430
Japan,1963,324835463
Japan,1964,358891094
Japan,1965,386471179
Japan,1966,419245117
Japan,1967,489307430
Japan,1968,561912555
Japan,1969,653215421
Japan,1970,767963110
Japan,1971,796544280
Japan,1972,852170216
Japan,1973,914265202
Japan,1974,914306206
Japan,1975,868510753
Japan,1976,907144545
Japan,1977,933237686
Japan,1978,901590083
Japan,1979,953071343
Japan,1980,944868566
Japan,1981,926835495
Japan,1982,897407791
Japan,1983,880909402
Japan,1984,937069892
Japan,1985,912400813
Japan,1986,912259933
Japan,1987,902530350
Japan,1988,985464274
Japan,1989,1021681739
Japan,1990,1158007407
Japan,1991,1169691855
Japan,1992,1179396064
Japan,1993,1172339471
Japan,1994,1227273012
Japan,1995,1239619832
Japan,1996,1251530853
Japan,1997,1244781173
Japan,1998,1204993482
Japan,1999,1241611492
Japan,2000,1264374642
Japan,2001,1249766267
Japan,2002,1279120141
Japan,2003,1287467746
Japan,2004,1282861601
Japan,2005,1290371061
Japan,2006,1267361874
Japan,2007,1303134177
Japan,2008,1232313730
Japan,2009,1163212931
Japan,2010,1214816233
Japan,2011,1264866099
Japan,2012,1306009842
Japan,2013,1315342658
Japan,2014,1263728759
Japan,2015,1223396445
Japan,2016,1203717880
Japan,2017,1188122842
Japan,2018,1143457876
Japan,2019,1105929335
Japan,2020,1030775384
