date,Borough,Price,Year,PricePercent
Jan-95,City of London,91448.98487,1995,-47.36399681
Feb-95,City of London,82202.77314,1995,-52.68591078
Mar-95,City of London,79120.70256,1995,-54.45988211
Apr-95,City of London,77101.20804,1995,-55.62225827
May-95,City of London,84409.14932,1995,-51.41596969
Jun-95,City of London,94900.51244,1995,-45.37737426
Jul-95,City of London,110128.0423,1995,-36.61274651
Aug-95,City of London,112329.4376,1995,-35.3456723
Sep-95,City of London,104473.1096,1995,-39.86760009
Oct-95,City of London,108038.1181,1995,-37.81566043
Nov-95,City of London,117635.614,1995,-32.2915551
Dec-95,City of London,127232.4459,1995,-26.76783195
Jan-96,City of London,108998.6449,1996,-37.26280255
Feb-96,City of London,93356.69814,1996,-46.26595945
Mar-96,City of London,93706.70087,1996,-46.06450566
Apr-96,City of London,120542.7871,1996,-30.61825087
May-96,City of London,112050.079,1996,-35.5064649
Jun-96,City of London,114226.1868,1996,-34.25394562
Jul-96,City of London,97546.65538,1996,-43.85431319
Aug-96,City of London,114178.9615,1996,-34.28112745
Sep-96,City of London,108138.3441,1996,-37.75797257
Oct-96,City of London,98934.21106,1996,-43.05566698
Nov-96,City of London,99706.77553,1996,-42.61099604
Dec-96,City of London,106426.6463,1996,-38.74318778
Jan-97,City of London,116343.2632,1997,-33.03540349
Feb-97,City of London,111142.2413,1997,-36.0289961
Mar-97,City of London,107487.7721,1997,-38.13242735
Apr-97,City of London,108480.1265,1997,-37.56125022
May-97,City of London,115453.1138,1997,-33.54775371
Jun-97,City of London,118316.6328,1997,-31.89957581
Jul-97,City of London,117033.8026,1997,-32.63794436
Aug-97,City of London,113584.7062,1997,-34.62316759
Sep-97,City of London,115159.3603,1997,-33.71683169
Oct-97,City of London,121251.0481,1997,-30.21059158
Nov-97,City of London,131074.4707,1997,-24.55644787
Dec-97,City of London,130034.7709,1997,-25.15487596
Jan-98,City of London,124381.6148,1998,-28.40870697
Feb-98,City of London,143828.6637,1998,-17.21541785
Mar-98,City of London,156508.2157,1998,-9.917349524
Apr-98,City of London,163402.8902,1998,-5.94892812
May-98,City of London,143625.206,1998,-17.33252358
Jun-98,City of London,132250.9156,1998,-23.87931233
Jul-98,City of London,140377.131,1998,-19.20204335
Aug-98,City of London,148993.1355,1998,-14.24286266
Sep-98,City of London,152806.8225,1998,-12.04778918
Oct-98,City of London,162019.7074,1998,-6.745057397
Nov-98,City of London,152387.1579,1998,-12.2893388
Dec-98,City of London,155801.2742,1998,-10.32424934
Jan-99,City of London,149142.8994,1999,-14.15666189
Feb-99,City of London,164544.6832,1999,-5.291737446
Mar-99,City of London,174586.171,1999,0.487919754
Apr-99,City of London,191157.4832,1999,10.02599875
May-99,City of London,191080.7478,1999,9.981831559
Jun-99,City of London,185993.3245,1999,7.053623779
Jul-99,City of London,164056.0744,1999,-5.572969811
Aug-99,City of London,160904.9707,1999,-7.386675066
Sep-99,City of London,166192.6431,1999,-4.343208354
Oct-99,City of London,163490.4727,1999,-5.898517579
Nov-99,City of London,175142.6311,1999,0.80820582
Dec-99,City of London,169308.6414,1999,-2.549708987
Jan-00,City of London,173738.4667,2000,0
Feb-00,City of London,174151.8041,2000,0.237907821
Mar-00,City of London,178338.5158,2000,2.647686023
Apr-00,City of London,183100.9126,2000,5.388815775
May-00,City of London,175040.6662,2000,0.74951709
Jun-00,City of London,198191.0327,2000,14.07435352
Jul-00,City of London,214852.4149,2000,23.6642748
Aug-00,City of London,221951.7129,2000,27.75047295
Sep-00,City of London,223175.1674,2000,28.45466617
Oct-00,City of London,245062.2886,2000,41.05240667
Nov-00,City of London,321773.1354,2000,85.20546515
Dec-00,City of London,314772.1892,2000,81.17587612
Jan-01,City of London,284262.1358,2001,63.61496748
Feb-01,City of London,198137.0177,2001,14.04326368
Mar-01,City of London,189033.0279,2001,8.803209497
Apr-01,City of London,205494.0961,2001,18.2778345
May-01,City of London,223458.8283,2001,28.61793507
Jun-01,City of London,242434.957,2001,39.540173
Jul-01,City of London,230699.9169,2001,32.78574474
Aug-01,City of London,231632.1327,2001,33.32230743
Sep-01,City of London,229805.5523,2001,32.27096835
Oct-01,City of London,263886.6637,2001,51.8872986
Nov-01,City of London,346458.1362,2001,99.41360298
Dec-01,City of London,362204.1887,2001,108.4766808
Jan-02,City of London,344238.8808,2002,98.13624889
Feb-02,City of London,284014.6085,2002,63.47249627
Mar-02,City of London,253696.9019,2002,46.02229818
Apr-02,City of London,245313.2021,2002,41.19682691
May-02,City of London,227281.2922,2002,30.81806034
Jun-02,City of London,253129.5938,2002,45.69576825
Jul-02,City of London,262427.6098,2002,51.0474996
Aug-02,City of London,274016.311,2002,57.71769845
Sep-02,City of London,277047.415,2002,59.46233454
Oct-02,City of London,271940.9004,2002,56.52313823
Nov-02,City of London,280282.7987,2002,61.32454949
Dec-02,City of London,262197.4052,2002,50.91499895
Jan-03,City of London,261644.8346,2003,50.5969516
Feb-03,City of London,263992.3993,2003,51.94815766
Mar-03,City of London,291969.1576,2003,68.05095794
