Month,Bitcoin
2016-01,3
2016-02,3
2016-03,3
2016-04,3
2016-05,4
2016-06,4
2016-07,4
2016-08,3
2016-09,3
2016-10,4
2016-11,4
2016-12,5
2017-01,7
2017-02,6
2017-03,7
2017-04,6
2017-05,16
2017-06,15
2017-07,14
2017-08,21
2017-09,22
2017-10,23
2017-11,46
2017-12,100
2018-01,59
2018-02,43
2018-03,25
2018-04,19
2018-05,15
2018-06,14
2018-07,14
2018-08,13
2018-09,12
2018-10,11
2018-11,15
2018-12,14
2019-01,10
2019-02,10
2019-03,9
2019-04,13
2019-05,18
2019-06,21
2019-07,20
2019-08,16
2019-09,14
2019-10,13
2019-11,12
2019-12,11
2020-01,13
2020-02,15
2020-03,20
2020-04,17
2020-05,21
2020-06,13
2020-07,15
2020-08,16
2020-09,13
2020-10,13
2020-11,24
2020-12,32
2021-01,68
2021-02,69
2021-03,50
2021-04,53
2021-05,68
2021-06,46
2021-07,32
2021-08,32
2021-09,32
2021-10,36
2021-11,34
2021-12,37
2022-01,44
2022-02,38
2022-03,31
2022-04,24
2022-05,38
2022-06,43
2022-07,31
2022-08,23
2022-09,22
2022-10,18
2022-11,27
2022-12,18
